sample_id,lot_id,tool_id,sequence,pr_tone,column,value,flag_type,review_reason,action
S00110,L0005,T01,110,POSITIVE,pattern_collapse_probability,0.087091,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00400,L0020,T02,400,NEGATIVE,scum_probability,0.263561,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00160,L0008,T01,160,NEGATIVE,focus_um,0.933515,candidate,"tone_specific_IQR_1.5 [-0.19931, 0.176318]",review_only_no_removal
S00160,L0008,T01,160,NEGATIVE,cdu_3sigma_nm,5.340213,candidate,"tone_specific_IQR_1.5 [0.753041, 5.25375]",review_only_no_removal
S00160,L0008,T01,160,NEGATIVE,defect_probability,0.20225,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00648,L0032,T02,648,POSITIVE,develop_time_s,67.473107,candidate,"tone_specific_IQR_1.5 [31.474, 64.3352]",review_only_no_removal
S00648,L0032,T02,648,POSITIVE,ler_nm,2.538843,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00648,L0032,T02,648,POSITIVE,pattern_collapse_probability,0.183179,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00648,L0032,T02,648,POSITIVE,defect_probability,0.3545,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00458,L0022,T03,458,NEGATIVE,scum_probability,0.419835,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00458,L0022,T03,458,NEGATIVE,pattern_collapse_probability,0.19157,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00458,L0022,T03,458,NEGATIVE,defect_probability,0.241045,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00206,L0010,T01,206,NEGATIVE,cdu_3sigma_nm,5.412845,candidate,"tone_specific_IQR_1.5 [0.753041, 5.25375]",review_only_no_removal
S00206,L0010,T01,206,NEGATIVE,ler_nm,2.730664,candidate,"tone_specific_IQR_1.5 [0.776788, 2.64113]",review_only_no_removal
S00206,L0010,T01,206,NEGATIVE,defect_probability,0.355506,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00004,L0000,T02,4,POSITIVE,defect_probability,0.353283,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00509,L0025,T01,509,POSITIVE,pattern_collapse_probability,0.081836,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00207,L0010,T02,207,POSITIVE,pattern_collapse_probability,0.079785,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00245,L0012,T02,245,NEGATIVE,scum_probability,0.35125,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00132,L0006,T02,132,NEGATIVE,cdu_3sigma_nm,5.36615,candidate,"tone_specific_IQR_1.5 [0.753041, 5.25375]",review_only_no_removal
S00132,L0006,T02,132,NEGATIVE,pattern_collapse_probability,0.103363,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00132,L0006,T02,132,NEGATIVE,defect_probability,0.253293,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00325,L0016,T02,325,NEGATIVE,scum_probability,0.346934,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00621,L0031,T01,621,POSITIVE,develop_time_s,31.075927,candidate,"tone_specific_IQR_1.5 [31.474, 64.3352]",review_only_no_removal
S00621,L0031,T01,621,POSITIVE,defect_probability,0.401802,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00499,L0024,T02,499,POSITIVE,defect_probability,0.296808,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00482,L0024,T01,482,POSITIVE,scum_probability,0.820992,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00776,L0038,T03,776,NEGATIVE,resist_line_cd_nm,66.312582,candidate,"tone_specific_IQR_1.5 [43.0802, 57.4358]",review_only_no_removal
S00616,L0030,T01,616,NEGATIVE,coat_thickness_nm,66.935589,candidate,"tone_specific_IQR_1.5 [70.5625, 129.08]",review_only_no_removal
S00537,L0026,T01,537,POSITIVE,defect_probability,0.276498,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00008,L0000,T01,8,NEGATIVE,pattern_collapse_probability,0.092652,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00679,L0033,T03,679,POSITIVE,resist_line_cd_nm,56.792595,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00679,L0033,T03,679,POSITIVE,defect_probability,0.486184,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00571,L0028,T01,571,POSITIVE,focus_um,-0.214,candidate,"tone_specific_IQR_1.5 [-0.200521, 0.205716]",review_only_no_removal
S00571,L0028,T01,571,POSITIVE,cdu_3sigma_nm,5.938306,candidate,"tone_specific_IQR_1.5 [0.786451, 5.44784]",review_only_no_removal
S00571,L0028,T01,571,POSITIVE,defect_probability,0.381103,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00350,L0017,T02,350,POSITIVE,ler_nm,2.581716,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00265,L0013,T01,265,NEGATIVE,defect_probability,0.224135,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00467,L0023,T01,467,POSITIVE,peb_temp_c,101.26277,candidate,"tone_specific_IQR_1.5 [103.359, 116.579]",review_only_no_removal
S00467,L0023,T01,467,POSITIVE,ler_nm,4.709754,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00467,L0023,T01,467,POSITIVE,defect_probability,0.429784,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00097,L0004,T02,97,POSITIVE,ler_nm,3.130775,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00287,L0014,T03,287,NEGATIVE,scum_probability,0.42051,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00748,L0037,T01,748,POSITIVE,coat_thickness_nm,9.465512,candidate,"tone_specific_IQR_1.5 [70.6594, 130.078]",review_only_no_removal
S00446,L0022,T01,446,POSITIVE,cdu_3sigma_nm,5.454145,candidate,"tone_specific_IQR_1.5 [0.786451, 5.44784]",review_only_no_removal
S00737,L0036,T01,737,POSITIVE,defect_probability,0.271415,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00123,L0006,T02,123,NEGATIVE,ler_nm,2.824203,candidate,"tone_specific_IQR_1.5 [0.776788, 2.64113]",review_only_no_removal
S00335,L0016,T02,335,POSITIVE,resist_line_cd_nm,58.629102,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00335,L0016,T02,335,POSITIVE,scum_probability,0.902035,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00335,L0016,T02,335,POSITIVE,defect_probability,0.66895,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00669,L0033,T02,669,,cdu_3sigma_nm,4.384299,candidate,"tone_specific_IQR_1.5 [1.70126, 4.1371]",review_only_no_removal
S00669,L0033,T02,669,,defect_probability,0.179058,candidate,"tone_specific_IQR_1.5 [-0.0335643, 0.140066]",review_only_no_removal
S00740,L0037,T02,740,POSITIVE,resist_line_cd_nm,58.159657,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00740,L0037,T02,740,POSITIVE,scum_probability,0.901717,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00740,L0037,T02,740,POSITIVE,defect_probability,0.690759,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00126,L0006,T02,126,POSITIVE,pattern_collapse_probability,0.113089,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00626,L0031,T01,626,POSITIVE,defect_probability,0.338247,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00736,L0036,T01,736,NEGATIVE,ler_nm,2.764065,candidate,"tone_specific_IQR_1.5 [0.776788, 2.64113]",review_only_no_removal
S00690,L0034,T01,690,POSITIVE,ler_nm,2.843222,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00750,L0037,T03,750,,peb_temp_c,384.437009,candidate,"tone_specific_IQR_1.5 [99.8775, 115.269]; broad_physical_review_range (50, 200)",review_only_no_removal
S00750,L0037,T03,750,,scum_probability,0.385314,candidate,"tone_specific_IQR_1.5 [-0.164709, 0.347405]",review_only_no_removal
S00463,L0023,T01,463,POSITIVE,resist_line_cd_nm,43.910374,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00486,L0024,T01,486,POSITIVE,defect_probability,0.288844,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00483,L0024,T03,483,NEGATIVE,peb_temp_c,379.179754,candidate,"tone_specific_IQR_1.5 [97.6952, 112.689]; broad_physical_review_range (50, 200)",review_only_no_removal
S00165,L0008,T01,165,POSITIVE,defect_probability,0.437966,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00166,L0008,T02,166,POSITIVE,exposure_dose_mj_cm2,565.1333,candidate,"tone_specific_IQR_1.5 [82.5726, 117.811]",review_only_no_removal
S00166,L0008,T02,166,POSITIVE,ler_nm,3.154645,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00037,L0001,T01,37,POSITIVE,pattern_collapse_probability,0.096812,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00224,L0011,T02,224,POSITIVE,pattern_collapse_probability,0.088536,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00732,L0036,T01,732,POSITIVE,pattern_collapse_probability,0.107688,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00143,L0007,T01,143,POSITIVE,defect_probability,0.303254,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00716,L0035,T01,716,POSITIVE,scum_probability,0.777876,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00716,L0035,T01,716,POSITIVE,defect_probability,0.382549,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00511,L0025,T01,511,NEGATIVE,develop_time_s,4.772953,candidate,"tone_specific_IQR_1.5 [38.0715, 70.356]",review_only_no_removal
S00587,L0029,T01,587,POSITIVE,resist_line_cd_nm,56.961888,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00587,L0029,T01,587,POSITIVE,scum_probability,0.823181,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00587,L0029,T01,587,POSITIVE,defect_probability,0.725711,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00430,L0021,T02,430,NEGATIVE,scum_probability,0.304566,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00153,L0007,T01,153,POSITIVE,pattern_collapse_probability,0.079916,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00664,L0033,T01,664,POSITIVE,scum_probability,0.894366,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00320,L0016,T01,320,POSITIVE,ler_nm,2.496361,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00231,L0011,T01,231,POSITIVE,defect_probability,0.63061,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00541,L0027,T01,541,NEGATIVE,scum_probability,0.474074,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00459,L0022,T02,459,POSITIVE,pattern_collapse_probability,0.104302,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00460,L0023,T01,460,POSITIVE,defect_probability,0.435994,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00435,L0021,T03,435,POSITIVE,defect_probability,0.341752,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00670,L0033,T02,670,POSITIVE,defect_probability,0.272226,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00721,L0036,T01,721,NEGATIVE,develop_time_s,76.337237,candidate,"tone_specific_IQR_1.5 [38.0715, 70.356]",review_only_no_removal
S00721,L0036,T01,721,NEGATIVE,pattern_collapse_probability,0.219044,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00134,L0006,T03,134,NEGATIVE,peb_temp_c,378.530421,candidate,"tone_specific_IQR_1.5 [97.6952, 112.689]; broad_physical_review_range (50, 200)",review_only_no_removal
S00100,L0005,T01,100,NEGATIVE,ler_nm,2.714238,candidate,"tone_specific_IQR_1.5 [0.776788, 2.64113]",review_only_no_removal
S00100,L0005,T01,100,NEGATIVE,defect_probability,0.193735,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00619,L0030,T01,619,NEGATIVE,pattern_collapse_probability,0.12171,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00798,L0039,T02,798,POSITIVE,peb_temp_c,386.527363,candidate,"tone_specific_IQR_1.5 [103.359, 116.579]; broad_physical_review_range (50, 200)",review_only_no_removal
S00095,L0004,T01,95,POSITIVE,scum_probability,0.821593,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00095,L0004,T01,95,POSITIVE,defect_probability,0.563843,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00209,L0010,T01,209,NEGATIVE,resist_line_cd_nm,42.23932,candidate,"tone_specific_IQR_1.5 [43.0802, 57.4358]",review_only_no_removal
S00209,L0010,T01,209,NEGATIVE,scum_probability,0.393976,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00209,L0010,T01,209,NEGATIVE,pattern_collapse_probability,0.10742,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00403,L0020,T02,403,POSITIVE,ler_nm,2.742051,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00149,L0007,T02,149,NEGATIVE,scum_probability,0.410478,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00149,L0007,T02,149,NEGATIVE,defect_probability,0.213288,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00297,L0014,T02,297,NEGATIVE,coat_thickness_nm,129.899629,candidate,"tone_specific_IQR_1.5 [70.5625, 129.08]",review_only_no_removal
S00741,L0037,T02,741,NEGATIVE,scum_probability,0.263906,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00195,L0009,T01,195,POSITIVE,ler_nm,2.636083,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00534,L0026,T01,534,POSITIVE,resist_line_cd_nm,25.769242,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00255,L0012,T01,255,POSITIVE,ler_nm,2.790204,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00254,L0012,T02,254,POSITIVE,scum_probability,0.794915,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00010,L0000,T02,10,NEGATIVE,scum_probability,0.355823,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00117,L0005,T02,117,NEGATIVE,scum_probability,0.267506,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00117,L0005,T02,117,NEGATIVE,defect_probability,0.211674,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00021,L0001,T02,21,POSITIVE,ler_nm,2.495329,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00121,L0006,T02,121,POSITIVE,defect_probability,0.471887,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00441,L0022,T01,441,POSITIVE,resist_line_cd_nm,56.838558,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00441,L0022,T01,441,POSITIVE,scum_probability,0.899038,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00441,L0022,T01,441,POSITIVE,defect_probability,0.295216,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00067,L0003,T02,67,POSITIVE,ler_nm,2.490186,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00640,L0032,T02,640,POSITIVE,scum_probability,-0.077055,candidate,"broad_physical_review_range (0, 1)",review_only_no_removal
S00475,L0023,T01,475,POSITIVE,softbake_temp_c,9.979035,candidate,"tone_specific_IQR_1.5 [90.6915, 104.716]; broad_physical_review_range (50, 200)",review_only_no_removal
S00469,L0023,T02,469,NEGATIVE,pattern_collapse_probability,0.098822,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00434,L0021,T02,434,NEGATIVE,exposure_dose_mj_cm2,96.605395,candidate,"tone_specific_IQR_1.5 [64.1441, 92.8191]",review_only_no_removal
S00434,L0021,T02,434,NEGATIVE,normalized_dose_pct,123.85307,candidate,"tone_specific_IQR_1.5 [82.3645, 118.897]",review_only_no_removal
S00434,L0021,T02,434,NEGATIVE,developer_concentration_pct,2.541433,candidate,"tone_specific_IQR_1.5 [2.23711, 2.52771]",review_only_no_removal
S00434,L0021,T02,434,NEGATIVE,resist_line_cd_nm,58.120542,candidate,"tone_specific_IQR_1.5 [43.0802, 57.4358]",review_only_no_removal
S00337,L0016,T01,337,POSITIVE,softbake_temp_c,105.527766,candidate,"tone_specific_IQR_1.5 [90.6915, 104.716]",review_only_no_removal
S00401,L0020,T03,401,POSITIVE,ler_nm,-0.03279,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]; broad_physical_review_range (0, None)",review_only_no_removal
S00256,L0012,T01,256,POSITIVE,exposure_dose_mj_cm2,122.904538,candidate,"tone_specific_IQR_1.5 [82.5726, 117.811]",review_only_no_removal
S00256,L0012,T01,256,POSITIVE,normalized_dose_pct,122.904538,candidate,"tone_specific_IQR_1.5 [82.5836, 117.781]",review_only_no_removal
S00256,L0012,T01,256,POSITIVE,resist_line_cd_nm,40.893176,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00256,L0012,T01,256,POSITIVE,ler_nm,2.885208,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00734,L0036,T01,734,POSITIVE,focus_um,0.223865,candidate,"tone_specific_IQR_1.5 [-0.200521, 0.205716]",review_only_no_removal
S00734,L0036,T01,734,POSITIVE,cdu_3sigma_nm,5.534543,candidate,"tone_specific_IQR_1.5 [0.786451, 5.44784]",review_only_no_removal
S00734,L0036,T01,734,POSITIVE,defect_probability,0.272976,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00074,L0003,T01,74,POSITIVE,ler_nm,2.67231,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00684,L0034,T03,684,POSITIVE,ler_nm,-0.423429,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]; broad_physical_review_range (0, None)",review_only_no_removal
S00030,L0001,T02,30,NEGATIVE,scum_probability,0.441342,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00762,L0038,T02,762,,develop_time_s,38.200108,candidate,"tone_specific_IQR_1.5 [43.0289, 56.2251]",review_only_no_removal
S00762,L0038,T02,762,,scum_probability,0.556379,candidate,"tone_specific_IQR_1.5 [-0.164709, 0.347405]",review_only_no_removal
S00682,L0034,T02,682,POSITIVE,defect_probability,0.436324,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00059,L0002,T01,59,POSITIVE,cdu_3sigma_nm,5.498097,candidate,"tone_specific_IQR_1.5 [0.786451, 5.44784]",review_only_no_removal
S00059,L0002,T01,59,POSITIVE,defect_probability,0.633794,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00550,L0027,T02,550,NEGATIVE,defect_probability,0.229579,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00693,L0034,T01,693,NEGATIVE,scum_probability,0.291467,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00693,L0034,T01,693,NEGATIVE,pattern_collapse_probability,0.109276,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00367,L0018,T01,367,,developer_concentration_pct,2.484238,candidate,"tone_specific_IQR_1.5 [2.31641, 2.46785]",review_only_no_removal
S00351,L0017,T02,351,NEGATIVE,develop_time_s,75.483427,candidate,"tone_specific_IQR_1.5 [38.0715, 70.356]",review_only_no_removal
S00351,L0017,T02,351,NEGATIVE,pattern_collapse_probability,0.230508,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00790,L0039,T01,790,POSITIVE,resist_line_cd_nm,58.049019,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00790,L0039,T01,790,POSITIVE,scum_probability,0.974451,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00790,L0039,T01,790,POSITIVE,defect_probability,0.395934,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00457,L0022,T01,457,,develop_time_s,60.28503,candidate,"tone_specific_IQR_1.5 [43.0289, 56.2251]",review_only_no_removal
S00194,L0009,T03,194,NEGATIVE,ler_nm,2.715269,candidate,"tone_specific_IQR_1.5 [0.776788, 2.64113]",review_only_no_removal
S00634,L0031,T01,634,POSITIVE,developer_concentration_pct,12.21005,candidate,"tone_specific_IQR_1.5 [2.23432, 2.53288]",review_only_no_removal
S00119,L0005,T02,119,NEGATIVE,scum_probability,0.450124,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00119,L0005,T02,119,NEGATIVE,defect_probability,0.202828,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00618,L0030,T01,618,POSITIVE,coat_thickness_nm,136.012249,candidate,"tone_specific_IQR_1.5 [70.6594, 130.078]",review_only_no_removal
S00514,L0025,T01,514,POSITIVE,pattern_collapse_probability,0.086222,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00328,L0016,T02,328,POSITIVE,defect_probability,0.264869,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00327,L0016,T01,327,POSITIVE,developer_concentration_pct,2.556616,candidate,"tone_specific_IQR_1.5 [2.23432, 2.53288]",review_only_no_removal
S00387,L0019,T01,387,,develop_time_s,56.541,candidate,"tone_specific_IQR_1.5 [43.0289, 56.2251]",review_only_no_removal
S00019,L0000,T01,19,NEGATIVE,ler_nm,2.733104,candidate,"tone_specific_IQR_1.5 [0.776788, 2.64113]",review_only_no_removal
S00738,L0036,T01,738,POSITIVE,focus_um,0.209408,candidate,"tone_specific_IQR_1.5 [-0.200521, 0.205716]",review_only_no_removal
S00738,L0036,T01,738,POSITIVE,cdu_3sigma_nm,5.833959,candidate,"tone_specific_IQR_1.5 [0.786451, 5.44784]",review_only_no_removal
S00738,L0036,T01,738,POSITIVE,defect_probability,0.525418,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00338,L0016,T01,338,POSITIVE,develop_time_s,64.819091,candidate,"tone_specific_IQR_1.5 [31.474, 64.3352]",review_only_no_removal
S00338,L0016,T01,338,POSITIVE,pattern_collapse_probability,0.18307,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00386,L0019,T01,386,POSITIVE,scum_probability,0.834599,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00542,L0027,T01,542,NEGATIVE,defect_probability,0.276565,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00615,L0030,T03,615,POSITIVE,resist_line_cd_nm,57.155797,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00615,L0030,T03,615,POSITIVE,scum_probability,0.790234,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00615,L0030,T03,615,POSITIVE,defect_probability,0.286344,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00437,L0021,T01,437,POSITIVE,scum_probability,0.81682,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
